,fips,year,Total Investigations,Arrests Made,percentage
3226,42101024000,2015,429,6,1.3986013986013985
49,42101000402,2014,286,4,1.3986013986013985
6185,42101980300,2016,571,8,1.4010507880910683
3618,42101026200,2019,850,12,1.411764705882353
5438,42101035500,2016,706,10,1.41643059490085
5248,42101034600,2020,141,2,1.4184397163120568
5462,42101035601,2018,211,3,1.4218009478672986
5138,42101034000,2014,70,1,1.4285714285714286
5538,42101035800,2022,140,2,1.4285714285714286
1479,42101013100,2019,1599,23,1.4383989993746091
5293,42101034801,2016,347,5,1.440922190201729
6220,42101980600,2014,208,3,1.4423076923076923
106,42101003001,2014,138,2,1.4492753623188406
5282,42101034702,2019,138,2,1.4492753623188406
5675,42101036302,2019,136,2,1.4705882352941175
5702,42101036400,2016,136,2,1.4705882352941175
5684,42101036303,2015,270,4,1.4814814814814816
5523,42101035800,2014,270,4,1.4814814814814816
3666,42101026302,2023,67,1,1.4925373134328357
5561,42101036000,2016,469,7,1.4925373134328357
5070,42101033701,2016,334,5,1.4970059880239521
2977,42101021100,2018,133,2,1.5037593984962405
3676,42101026400,2018,1059,16,1.5108593012275733
5190,42101034400,2017,397,6,1.5113350125944585
3678,42101026400,2019,1849,28,1.5143320713899404
831,42101008802,2018,264,4,1.5151515151515151
852,42101009000,2019,131,2,1.5267175572519083
136,42101004201,2014,131,2,1.5267175572519083
5612,42101036202,2016,196,3,1.530612244897959
5826,42101037300,2014,391,6,1.5345268542199488
2870,42101020500,2015,2083,32,1.5362457993278924
5122,42101033900,2015,130,2,1.5384615384615385
5643,42101036203,2023,65,1,1.5384615384615385
5434,42101035500,2014,711,11,1.5471167369901548
5686,42101036303,2016,323,5,1.5479876160990713
5577,42101036100,2015,129,2,1.550387596899225
5641,42101036203,2022,129,2,1.550387596899225
5527,42101035800,2016,257,4,1.556420233463035
3552,42101025900,2014,191,3,1.5706806282722512
5405,42101035301,2017,191,3,1.5706806282722512
5625,42101036203,2014,127,2,1.574803149606299
3035,42101021400,2019,254,4,1.574803149606299
2892,42101020600,2016,316,5,1.5822784810126582
1194,42101010900,2015,441,7,1.5873015873015872
3115,42101021900,2015,63,1,1.5873015873015872
5592,42101036201,2015,189,3,1.5873015873015872
1532,42101013401,2016,251,4,1.593625498007968
1568,42101013500,2016,188,3,1.5957446808510638
5159,42101034100,2018,186,3,1.6129032258064515
5635,42101036203,2019,124,2,1.6129032258064515
5533,42101035800,2019,371,6,1.6172506738544474
3451,42101025300,2019,1785,29,1.6246498599439778
4964,42101033102,2021,184,3,1.6304347826086956
5271,42101034701,2022,121,2,1.6528925619834711
4956,42101033102,2017,422,7,1.6587677725118484
1208,42101010900,2022,300,5,1.6666666666666667
4695,42101031501,2023,60,1,1.6666666666666667
4571,42101031101,2019,1020,17,1.6666666666666667
1730,42101014300,2015,417,7,1.6786570743405276
5076,42101033701,2019,415,7,1.6867469879518073
3351,42101024600,2019,2844,48,1.6877637130801686
5080,42101033701,2021,355,6,1.6901408450704223
1339,42101011700,2019,59,1,1.694915254237288
116,42101003600,2014,1059,18,1.69971671388102
5299,42101034801,2019,351,6,1.7094017094017095
4290,42101029200,2022,409,7,1.7114914425427872
5563,42101036000,2017,464,8,1.7241379310344827
3122,42101021900,2019,116,2,1.7241379310344827
2959,42101021000,2018,696,12,1.7241379310344827
5602,42101036201,2020,58,1,1.7241379310344827
3303,42101024400,2015,1209,21,1.7369727047146404
3117,42101021900,2016,115,2,1.7391304347826086
3612,42101026200,2016,287,5,1.7421602787456445
5692,42101036303,2019,172,3,1.744186046511628
4952,42101033102,2015,400,7,1.7500000000000002
1229,42101011000,2023,57,1,1.7543859649122806
6178,42101980200,2021,114,2,1.7543859649122806
76,42101001400,2014,57,1,1.7543859649122806
5309,42101034802,2014,228,4,1.7543859649122806
3670,42101026400,2015,796,14,1.7587939698492463
650,42101008301,2015,1023,18,1.7595307917888565
6191,42101980300,2019,453,8,1.7660044150110374
4551,42101031000,2019,1469,26,1.7699115044247788
78,42101001500,2014,113,2,1.7699115044247788
2975,42101021100,2017,113,2,1.7699115044247788
5882,42101037600,2023,56,1,1.7857142857142856
5621,42101036202,2021,167,3,1.7964071856287425
4365,42101029900,2020,333,6,1.8018018018018018
988,42101009801,2019,111,2,1.8018018018018018
5754,42101036600,2018,333,6,1.8018018018018018
5224,42101034502,2017,333,6,1.8018018018018018
5226,42101034502,2018,277,5,1.8050541516245486
5349,42101034900,2015,497,9,1.8108651911468814
3660,42101026302,2020,551,10,1.8148820326678767
3164,42101023600,2019,55,1,1.8181818181818181
5196,42101034400,2020,55,1,1.8181818181818181
5756,42101036600,2019,604,11,1.8211920529801324
3031,42101021400,2017,384,7,1.8229166666666667
3282,42101024300,2014,328,6,1.8292682926829267
1211,42101011000,2014,819,15,1.8315018315018317
4668,42101031402,2019,654,12,1.834862385321101
3658,42101026302,2019,4353,80,1.8378130025269928
92,42101002400,2014,379,7,1.8469656992084433
2940,42101020900,2017,162,3,1.8518518518518516
6250,42101980700,2020,108,2,1.8518518518518516
132,42101004101,2014,700,13,1.8571428571428572
1475,42101013100,2017,484,9,1.859504132231405
5351,42101034900,2016,376,7,1.8617021276595744
1778,42101014500,2019,161,3,1.8633540372670807
5419,42101035302,2015,214,4,1.8691588785046727
5244,42101034600,2018,427,8,1.873536299765808
5237,42101034600,2014,747,14,1.8741633199464525
5608,42101036202,2014,160,3,1.875
5347,42101034900,2014,425,8,1.8823529411764703
3419,42101024900,2023,53,1,1.8867924528301887
5733,42101036502,2015,53,1,1.8867924528301887
2967,42101021000,2022,106,2,1.8867924528301887
4577,42101031101,2022,212,4,1.8867924528301887
508,42101007400,2023,106,2,1.8867924528301887
3059,42101021600,2014,159,3,1.8867924528301887
4351,42101029800,2023,53,1,1.8867924528301887
5334,42101034803,2017,211,4,1.8957345971563981
3620,42101026200,2020,105,2,1.9047619047619049
5255,42101034701,2014,524,10,1.9083969465648856
2301,42101017202,2016,2671,51,1.9093972295020591
6099,42101038900,2018,1358,26,1.914580265095729
5275,42101034702,2015,261,5,1.9157088122605364
5551,42101035900,2019,261,5,1.9157088122605364
5082,42101033701,2022,313,6,1.9169329073482428
5516,42101035702,2019,104,2,1.9230769230769231
4559,42101031000,2023,52,1,1.9230769230769231
5201,42101034400,2023,52,1,1.9230769230769231
4363,42101029900,2019,2219,43,1.9378098242451556
5623,42101036202,2022,103,2,1.9417475728155338
4883,42101032600,2019,823,16,1.9441069258809234
1728,42101014300,2014,410,8,1.951219512195122
6097,42101038900,2017,1587,31,1.9533711405166982
4966,42101033102,2022,102,2,1.9607843137254901
5280,42101034702,2018,102,2,1.9607843137254901
3142,42101023100,2016,51,1,1.9607843137254901
5714,42101036501,2014,153,3,1.9607843137254901
2997,42101021200,2019,153,3,1.9607843137254901
3391,42101024800,2019,1772,35,1.9751693002257338
3331,42101024500,2019,3872,77,1.9886363636363635
2957,42101021000,2017,703,14,1.991465149359886
4304,42101029300,2019,2657,53,1.9947308995107265
2929,42101020800,2017,50,1,2.0
5391,42101035200,2018,50,1,2.0
1651,42101013900,2014,300,6,2.0
3768,42101026900,2014,50,1,2.0
805,42101008801,2014,100,2,2.0
1390,42101012000,2019,50,1,2.0
6236,42101980600,2022,50,1,2.0
5854,42101037500,2018,100,2,2.0
1473,42101013100,2016,649,13,2.0030816640986133
3264,42101024200,2015,1845,37,2.0054200542005423
5710,42101036400,2021,149,3,2.013422818791946
3656,42101026302,2018,2084,42,2.015355086372361
880,42101009200,2015,496,10,2.0161290322580645
5682,42101036303,2014,198,4,2.0202020202020203
2259,42101017100,2015,1730,35,2.023121387283237
42,42101000100,2014,148,3,2.027027027027027
3061,42101021600,2015,196,4,2.0408163265306123
183,42101005500,2020,98,2,2.0408163265306123
2938,42101020900,2016,196,4,2.0408163265306123
5655,42101036301,2019,293,6,2.04778156996587
94,42101002500,2014,195,4,2.051282051282051
1699,42101014100,2019,2335,48,2.0556745182012848
3179,42101023700,2019,535,11,2.0560747663551404
2317,42101017300,2014,1749,36,2.0583190394511153
5325,42101034802,2022,97,2,2.0618556701030926
5536,42101035800,2021,194,4,2.0618556701030926
2810,42101020200,2015,1642,34,2.0706455542021924
5541,42101035900,2014,241,5,2.0746887966804977
4891,42101032600,2023,48,1,2.083333333333333
3209,42101023900,2015,48,1,2.083333333333333
6061,42101038700,2016,48,1,2.083333333333333
561,42101007900,2020,96,2,2.083333333333333
2931,42101020800,2018,48,1,2.083333333333333
102,42101002802,2014,48,1,2.083333333333333
6101,42101038900,2019,1727,36,2.0845396641574987
3389,42101024800,2018,1342,28,2.086438152011923
1500,42101013200,2020,431,9,2.088167053364269
2987,42101021200,2014,143,3,2.097902097902098
3069,42101021600,2019,286,6,2.097902097902098
1548,42101013402,2015,380,8,2.1052631578947367
514,42101007700,2016,190,4,2.1052631578947367
4402,42101030100,2019,2936,62,2.111716621253406
5098,42101033702,2021,142,3,2.112676056338028
3595,42101026100,2017,284,6,2.112676056338028
2237,42101017000,2014,331,7,2.1148036253776437
5353,42101034900,2017,425,9,2.1176470588235294
1736,42101014300,2018,330,7,2.1212121212121215
5289,42101034801,2014,424,9,2.1226415094339623
2888,42101020600,2014,282,6,2.127659574468085
3790,42101027000,2016,235,5,2.127659574468085
928,42101009400,2019,3466,74,2.1350259665320253
1498,42101013200,2019,1727,37,2.1424435437174294
4098,42101028400,2015,980,21,2.142857142857143
5874,42101037600,2019,1259,27,2.144559173947578
3469,42101025400,2018,373,8,2.1447721179624666
6095,42101038900,2016,932,20,2.1459227467811157
2953,42101021000,2015,510,11,2.156862745098039
5511,42101035702,2016,139,3,2.158273381294964
1546,42101013402,2014,556,12,2.158273381294964
5265,42101034701,2019,231,5,2.1645021645021645
6276,42101980900,2014,967,21,2.1716649431230612
6296,42101989100,2014,138,3,2.1739130434782608
2195,42101016800,2023,46,1,2.1739130434782608
5194,42101034400,2019,276,6,2.1739130434782608
5696,42101036303,2021,46,1,2.1739130434782608
5092,42101033702,2018,184,4,2.1739130434782608
5241,42101034600,2016,735,16,2.1768707482993195
712,42101008500,2016,6380,139,2.1786833855799372
792,42101008702,2017,321,7,2.1806853582554515
2989,42101021200,2015,229,5,2.1834061135371177
660,42101008301,2020,412,9,2.1844660194174756
4970,42101033200,2014,183,4,2.185792349726776
4591,42101031102,2019,684,15,2.1929824561403506
5246,42101034600,2019,500,11,2.1999999999999997
3407,42101024900,2017,1948,43,2.2073921971252566
5315,42101034802,2017,226,5,2.2123893805309733
82,42101001800,2014,90,2,2.2222222222222223
4442,42101030501,2019,360,8,2.2222222222222223
5760,42101036600,2021,180,4,2.2222222222222223
3698,42101026500,2019,2113,47,2.224325603407477
6131,42101980000,2014,1078,24,2.2263450834879404
4950,42101033102,2014,359,8,2.2284122562674096
1488,42101013200,2014,718,16,2.2284122562674096
5192,42101034400,2018,179,4,2.2346368715083798
3079,42101021700,2015,313,7,2.2364217252396164
3597,42101026100,2018,178,4,2.247191011235955
1092,42101010400,2014,1111,25,2.25022502250225
5303,42101034801,2021,222,5,2.2522522522522523
4004,42101027902,2018,1597,36,2.254226675015654
6268,42101980800,2019,266,6,2.2556390977443606
1299,42101011400,2018,1414,32,2.263083451202263
5074,42101033701,2018,397,9,2.2670025188916876
3493,42101025500,2020,44,1,2.272727272727273
6073,42101038800,2014,132,3,2.272727272727273
5750,42101036600,2016,352,8,2.272727272727273
3718,42101026600,2019,1803,41,2.273987798114254
2768,42101020101,2014,1578,36,2.2813688212927756
837,42101008802,2021,218,5,2.293577981651376
6298,42101989100,2015,87,2,2.2988505747126435
3409,42101024900,2018,1129,26,2.3029229406554474
1213,42101011000,2015,521,12,2.3032629558541267
4480,42101030600,2019,651,15,2.3041474654377883
4422,42101030200,2019,3874,90,2.323180175529169
843,42101009000,2014,258,6,2.3255813953488373
264,42101006200,2021,1462,34,2.3255813953488373
268,42101006200,2023,86,2,2.3255813953488373
3499,42101025600,2014,86,2,2.3255813953488373
5614,42101036202,2017,257,6,2.3346303501945527
5036,42101033500,2019,556,13,2.338129496402878
5531,42101035800,2018,342,8,2.3391812865497075
800,42101008702,2021,171,4,2.3391812865497075
4549,42101031000,2018,1237,29,2.3443815683104283
1732,42101014300,2016,554,13,2.3465703971119134
3284,42101024300,2015,554,13,2.3465703971119134
5199,42101034400,2022,639,15,2.3474178403755865
1116,42101010500,2016,892,21,2.3542600896860986
3307,42101024400,2017,1104,26,2.355072463768116
5647,42101036301,2015,467,11,2.355460385438972
2187,42101016800,2019,2079,49,2.356902356902357
1215,42101011000,2016,551,13,2.35934664246824
533,42101007800,2016,508,12,2.3622047244094486
2281,42101017201,2016,2524,60,2.3771790808240887
2305,42101017202,2018,2733,65,2.3783388218075374
3140,42101023100,2015,42,1,2.380952380952381
4014,42101027902,2023,42,1,2.380952380952381
5740,42101036502,2019,42,1,2.380952380952381
3037,42101021400,2020,42,1,2.380952380952381
3591,42101026100,2015,126,3,2.380952380952381
3463,42101025400,2015,210,5,2.380952380952381
3011,42101021300,2017,672,16,2.380952380952381
6139,42101980000,2018,795,19,2.3899371069182394
4640,42101031401,2015,957,23,2.4033437826541273
3672,42101026400,2016,790,19,2.4050632911392404
4118,42101028500,2015,1453,35,2.4088093599449416
870,42101009100,2020,83,2,2.4096385542168677
5494,42101035701,2017,290,7,2.413793103448276
5100,42101033702,2022,124,3,2.4193548387096775
2770,42101020101,2015,2349,57,2.4265644955300125
5046,42101033600,2014,247,6,2.42914979757085
2279,42101017201,2015,2592,63,2.430555555555556
6181,42101980300,2014,617,15,2.4311183144246353
1096,42101010400,2016,985,24,2.4365482233502536
740,42101008601,2020,82,2,2.4390243902439024
5479,42101035602,2018,82,2,2.4390243902439024
3439,42101025200,2023,41,1,2.4390243902439024
3085,42101021700,2018,286,7,2.4475524475524475
2087,42101016400,2019,1634,40,2.4479804161566707
6141,42101980000,2019,980,24,2.4489795918367347
3007,42101021300,2015,694,17,2.4495677233429394
3714,42101026600,2017,1101,27,2.452316076294278
3106,42101021800,2019,163,4,2.4539877300613497
1335,42101011700,2017,122,3,2.459016393442623
1120,42101010500,2018,1179,29,2.4597116200169635
3278,42101024200,2022,975,24,2.4615384615384617
3081,42101021700,2016,365,9,2.4657534246575343
3523,42101025700,2017,81,2,2.4691358024691357
161,42101005400,2018,81,2,2.4691358024691357
5425,42101035302,2018,81,2,2.4691358024691357
3694,42101026500,2017,1496,37,2.473262032085562
5250,42101034600,2021,202,5,2.4752475247524752
5752,42101036600,2017,444,11,2.4774774774774775
3268,42101024200,2017,1936,48,2.479338842975207
3674,42101026400,2017,1129,28,2.4800708591674048
3554,42101025900,2015,161,4,2.484472049689441
760,42101008602,2020,201,5,2.4875621890547266
3868,42101027401,2018,1044,26,2.490421455938697
1102,42101010400,2019,2201,55,2.498864152657883
5307,42101034801,2023,80,2,2.5
3536,42101025800,2015,40,1,2.5
3573,42101026000,2015,120,3,2.5
1760,42101014400,2020,160,4,2.5
1395,42101012100,2014,80,2,2.5
6270,42101980800,2020,40,1,2.5
2263,42101017100,2017,1914,48,2.507836990595611
4164,42101028700,2018,279,7,2.5089605734767026
6081,42101038800,2018,239,6,2.510460251046025
4264,42101029100,2019,1075,27,2.511627906976744
4323,42101029400,2019,1588,40,2.518891687657431
4276,42101029200,2015,794,20,2.518891687657431
5094,42101033702,2019,238,6,2.5210084033613445
5028,42101033500,2015,713,18,2.524544179523142
5832,42101037300,2017,356,9,2.528089887640449
835,42101008802,2020,79,2,2.5316455696202533
6043,42101038500,2018,79,2,2.5316455696202533
4516,42101030800,2019,237,6,2.5316455696202533
2788,42101020102,2014,1696,43,2.535377358490566
1192,42101010900,2014,433,11,2.5404157043879905
320,42101006500,2019,3975,101,2.540880503144654
446,42101007102,2022,901,23,2.5527192008879025
3048,42101021500,2017,390,10,2.564102564102564
746,42101008601,2023,39,1,2.564102564102564
3042,42101021500,2014,312,8,2.564102564102564
5730,42101036501,2022,39,1,2.564102564102564
855,42101009000,2021,39,1,2.564102564102564
6199,42101980300,2023,39,1,2.564102564102564
4733,42101031600,2023,39,1,2.564102564102564
5631,42101036203,2017,195,5,2.564102564102564
4541,42101031000,2014,1130,29,2.566371681415929
3050,42101021500,2018,506,13,2.5691699604743086
2852,42101020400,2016,1397,36,2.576950608446672
4648,42101031401,2019,814,21,2.5798525798525795
5210,42101034501,2018,155,4,2.5806451612903225
316,42101006500,2017,2786,72,2.5843503230437905
3274,42101024200,2020,502,13,2.589641434262948
3906,42101027500,2018,1852,48,2.591792656587473
968,42101009600,2019,4159,108,2.596778071651839
3290,42101024300,2018,385,10,2.5974025974025974
549,42101007900,2014,423,11,2.6004728132387704
825,42101008802,2015,692,18,2.601156069364162
5513,42101035702,2017,115,3,2.608695652173913
3027,42101021400,2015,345,9,2.608695652173913
3160,42101023600,2017,115,3,2.608695652173913
4000,42101027902,2016,1376,36,2.616279069767442
1504,42101013200,2022,382,10,2.6178010471204187
2183,42101016800,2017,1566,41,2.6181353767560664
638,42101008200,2019,4154,109,2.6239768897448243
2927,42101020800,2016,38,1,2.631578947368421
1780,42101014500,2020,38,1,2.631578947368421
3497,42101025500,2022,38,1,2.631578947368421
850,42101009000,2018,152,4,2.631578947368421
4114,42101028400,2023,38,1,2.631578947368421
6050,42101038600,2016,38,1,2.631578947368421
157,42101005400,2016,76,2,2.631578947368421
4006,42101027902,2019,1555,41,2.636655948553055
3638,42101026301,2019,833,22,2.6410564225690276
5330,42101034803,2015,265,7,2.6415094339622645
6166,42101980200,2014,227,6,2.643171806167401
3349,42101024600,2018,2873,76,2.645318482422555
4040,42101028100,2016,1323,35,2.6455026455026456
3610,42101026200,2015,378,10,2.6455026455026456
2319,42101017300,2015,3098,82,2.646868947708199
1196,42101010900,2016,151,4,2.6490066225165565
5359,42101034900,2020,113,3,2.6548672566371683
3581,42101026000,2019,414,11,2.657004830917874
720,42101008500,2020,1202,32,2.6622296173044924
2790,42101020102,2015,1989,53,2.6646556058320763
5688,42101036303,2017,225,6,2.666666666666667
1401,42101012100,2017,150,4,2.666666666666667
2307,42101017202,2019,3105,83,2.6731078904991947
3401,42101024900,2014,857,23,2.6837806301050176
3654,42101026302,2017,2342,63,2.69000853970965
5297,42101034801,2018,223,6,2.690582959641256
240,42101006100,2019,1486,40,2.6917900403768504
553,42101007900,2016,519,14,2.697495183044316
2850,42101020400,2015,1260,34,2.6984126984126986
700,42101008400,2020,1000,27,2.7
3248,42101024100,2017,1629,44,2.701043585021486
