,district,year,Total Investigations,Arrests Made,percentage
329,24.0,2018,49334,3254,6.595856812745773
331,24.0,2019,58785,3960,6.736412350089309
199,14.0,2023,1365,92,6.73992673992674
317,22.0,2022,20764,1401,6.747254864188018
159,9.0,2023,2128,144,6.7669172932330826
53,3.0,2020,7154,485,6.779424098406486
65,5.0,2016,8734,595,6.812457064346233
163,12.0,2015,32242,2201,6.826499596799206
13,1.0,2020,6901,472,6.839588465439792
153,9.0,2020,7945,547,6.884833228445563
161,12.0,2014,27599,1906,6.906047320555092
439,77.0,2023,101,7,6.9306930693069315
315,22.0,2021,27490,1909,6.944343397599127
419,39.0,2023,3338,232,6.9502696225284595
207,15.0,2017,18628,1310,7.032424307494095
399,35.0,2023,2821,201,7.125132931584545
379,26.0,2023,2712,194,7.153392330383481
373,26.0,2020,10649,766,7.193163677340595
341,25.0,2014,70617,5092,7.210728294886501
319,22.0,2023,3367,245,7.276507276507277
375,26.0,2021,18509,1347,7.277540655897131
33,2.0,2020,3710,273,7.3584905660377355
217,15.0,2022,8750,648,7.405714285714287
195,14.0,2021,8308,618,7.438613384689456
377,26.0,2022,15503,1158,7.469522027994582
433,77.0,2020,198,15,7.575757575757576
235,16.0,2021,6259,480,7.668956702348619
393,35.0,2020,14901,1146,7.690759009462453
395,35.0,2021,22892,1765,7.710117071466015
37,2.0,2022,4278,332,7.760635811126694
359,25.0,2023,4237,333,7.859334434741562
397,35.0,2022,17050,1342,7.870967741935483
215,15.0,2021,6783,542,7.9905646469113965
323,24.0,2015,54135,4349,8.033619654567286
353,25.0,2020,15255,1248,8.180924287118978
355,25.0,2021,31515,2675,8.488021577026812
223,16.0,2015,18900,1620,8.571428571428571
321,24.0,2014,43354,3718,8.575909950638925
357,25.0,2022,25334,2241,8.845819846846135
63,5.0,2015,7776,720,9.25925925925926
35,2.0,2021,5962,577,9.677960415967796
339,24.0,2023,2274,224,9.850483729111698
61,5.0,2014,6109,610,9.985267637911278
333,24.0,2020,8219,871,10.597396276919334
335,24.0,2021,17183,1977,11.50555781877437
337,24.0,2022,13194,1628,12.338941943307564
79,5.0,2023,213,27,12.676056338028168
73,5.0,2020,956,159,16.631799163179917
77,5.0,2022,1387,249,17.95241528478731
75,5.0,2021,1447,280,19.350380096751902
